09-09-17,@Texas A&M,24,Nicholls St,14,,
09-09-17,@Troy,34,Alabama St,7,,
09-09-17,@Vanderbilt,42,Alabama A&M,0,,
09-09-17,@Colorado St,38,Abilene Chr,10,,
09-09-17,@Wyoming,27,Gardner Webb,0,,
09-09-17,@California,33,Weber St,20,,
09-09-17,@Washington,63,Montana,7,,
09-09-17,New Hampshire,22,Ga Southern,12,,"Birmingham, AL"
09-09-17,@Army,21,Buffalo,17,,
09-09-17,@Ball St,51,UAB,31,,
09-09-17,Wake Forest,34,@Boston College,10,,
09-09-17,@Clemson,14,Auburn,6,,
09-09-17,@Duke,41,Northwestern,17,,
09-09-17,Old Dominion,17,@Massachusetts,7,,
09-09-17,@Michigan,36,Cincinnati,14,,
09-09-17,@Michigan St,28,W Michigan,14,,
09-09-17,@Navy,23,Tulane,21,,
09-09-17,Louisville,47,@North Carolina,35,,
09-09-17,@NC State,37,Marshall,20,,
09-09-17,Oklahoma,31,@Ohio St,16,,
09-09-17,@Penn St,33,Pittsburgh,14,,
09-09-17,E Michigan,16,@Rutgers,13,,
09-09-17,MTSU,30,@Syracuse,23,,
09-09-17,Indiana,34,@Virginia,17,,
09-09-17,@West Virginia,56,East Carolina,20,,
09-09-17,@Alabama,41,Fresno St,10,,
09-09-17,TCU,28,@Arkansas,7,,
09-09-17,UT San Antonio,17,@Baylor,10,,
09-09-17,@Illinois,20,WKU,7,,
09-09-17,Iowa,44,@Iowa St,41,O1,
09-09-17,C Michigan,45,@Kansas,27,,
09-09-17,@Kansas St,55,Charlotte,7,,
09-09-17,South Carolina,31,@Missouri,13,,
09-09-17,@SMU,54,North Texas,32,,
09-09-17,@Texas,56,San Jose St,0,,
09-09-17,@Tulsa,66,ULL,42,,
09-09-17,@Wisconsin,31,FL Atlantic,14,,
09-09-17,Utah,19,@BYU,13,,
09-09-17,@Colorado,37,Texas St,3,,
09-09-17,New Mexico St,30,@New Mexico,28,,
09-09-17,Rice,31,@UTEP,14,,
09-09-17,Houston,19,@Arizona,16,,
09-09-17,San Diego St,30,@Arizona St,20,,
09-09-17,UNLV,44,@Idaho,16,,
09-09-17,Toledo,37,@Nevada,24,,
09-09-17,@Oregon,42,Nebraska,35,,
09-09-17,Minnesota,48,@Oregon St,14,,
09-09-17,@UCLA,56,Hawaii,23,,
09-09-17,@USC,42,Stanford,24,,
09-09-17,@Washington St,47,Boise St,44,O3,
09-09-17,Mississippi St,57,@Louisiana Tech,21,,
09-09-17,Georgia,20,@Notre Dame,19,,
14-09-17,@Boise St,28,New Mexico,14,,
15-09-17,@South Florida,47,Illinois,23,,
15-09-17,@Temple,29,Massachusetts,21,,
15-09-17,Arizona,63,@UTEP,16,,
16-09-17,@Ball St,28,Tennessee Tech,13,,
16-09-17,@Buffalo,33,Colgate,10,,
16-09-17,NC A&T,35,@Charlotte,31,,
16-09-17,@FL Atlantic,45,Bethune-Cookman,0,,
16-09-17,@Georgia,42,Samford,14,,
16-09-17,@NC State,49,Furman,16,,
16-09-17,@Rutgers,65,Morgan St,0,,
16-09-17,@West Virginia,59,Delaware St,16,,
16-09-17,@Arkansas St,48,Ark Pine Bluff,3,,
16-09-17,@Auburn,24,Mercer,10,,
16-09-17,@South Alabama,45,Alabama A&M,0,,
16-09-17,@UT San Antonio,51,Southern Univ,17,,
16-09-17,@Colorado,41,N Colorado,21,,
16-09-17,Idaho St,30,@Nevada,28,,
16-09-17,Iowa St,41,@Akron,14,,
16-09-17,Notre Dame,49,@Boston College,20,,
16-09-17,@Duke,34,Baylor,20,,
16-09-17,Virginia Tech,64,@East Carolina,17,,
16-09-17,@Florida,26,Tennessee,20,,
16-09-17,Clemson,47,@Louisville,21,,
16-09-17,@Marshall,21,Kent,0,,
16-09-17,Cincinnati,21,@Miami OH,17,,
16-09-17,@Michigan,29,Air Force,13,,
16-09-17,@Ohio,42,Kansas,30,,
16-09-17,@Ohio St,38,Army,7,,
16-09-17,North Carolina,53,@Old Dominion,23,,
16-09-17,@Penn St,56,Georgia St,0,,
16-09-17,Oklahoma St,59,@Pittsburgh,21,,
16-09-17,Kentucky,23,@South Carolina,13,,
16-09-17,@Syracuse,41,C Michigan,17,,
16-09-17,@Toledo,54,Tulsa,51,,
16-09-17,@Virginia,38,Connecticut,18,,
16-09-17,@Wake Forest,46,Utah St,10,,
16-09-17,@W Michigan,37,Idaho,28,,
16-09-17,@Alabama,41,Colorado St,23,,
16-09-17,@Houston,38,Rice,3,,
16-09-17,@Iowa,31,North Texas,14,,
16-09-17,Southern Miss,28,@ULM,17,,
16-09-17,@Memphis,48,UCLA,45,,
16-09-17,@Minnesota,34,MTSU,3,,
16-09-17,@Mississippi St,37,LSU,7,,
16-09-17,Purdue,35,@Missouri,3,,
16-09-17,N Illinois,21,@Nebraska,17,,
16-09-17,@Northwestern,49,Bowling Green,7,,
16-09-17,@Oklahoma,56,Tulane,14,,
16-09-17,@TCU,56,SMU,36,,
16-09-17,@Texas A&M,45,ULL,21,,
16-09-17,Appalachian St,20,@Texas St,13,,
16-09-17,@Texas Tech,52,Arizona St,45,,
16-09-17,@UAB,30,Coastal Car,23,,
16-09-17,@Vanderbilt,14,Kansas St,7,,
16-09-17,Louisiana Tech,23,@WKU,22,,
16-09-17,Wisconsin,40,@BYU,6,,
16-09-17,Troy,27,@New Mexico St,24,,
16-09-17,@Utah,54,San Jose St,16,,
16-09-17,@California,27,Mississippi,16,,
16-09-17,@USC,27,Texas,24,O2,
16-09-17,@Washington,48,Fresno St,16,,
16-09-17,@Washington St,52,Oregon St,23,,
16-09-17,Oregon,49,@Wyoming,13,,
16-09-17,@San Diego St,20,Stanford,17,,
21-09-17,@South Florida,43,Temple,7,,
22-09-17,Utah,30,@Arizona,24,,
22-09-17,Virginia,42,@Boise St,23,,
23-09-17,W Illinois,52,@Coastal Car,10,,
23-09-17,@W Michigan,49,Wagner,14,,
23-09-17,@Memphis,44,S Illinois,31,,
23-09-17,Wake Forest,20,@Appalachian St,19,,
23-09-17,@Buffalo,34,FL Atlantic,31,,
23-09-17,Miami OH,31,@C Michigan,14,,
23-09-17,Georgia St,28,@Charlotte,0,,
23-09-17,@Clemson,34,Boston College,7,,
23-09-17,Ohio,27,@E Michigan,20,O2,
23-09-17,NC State,27,@Florida St,21,,
23-09-17,@Georgia,31,Mississippi St,3,,
23-09-17,@Georgia Tech,35,Pittsburgh,17,,
23-09-17,@Indiana,52,Ga Southern,17,,
23-09-17,Florida,28,@Kentucky,27,,
23-09-17,@Louisville,42,Kent,3,,
23-09-17,UCF,38,@Maryland,10,,
23-09-17,@Miami FL,52,Toledo,30,,
23-09-17,Notre Dame,38,@Michigan St,18,,
23-09-17,@Navy,42,Cincinnati,32,,
23-09-17,Duke,27,@North Carolina,17,,
23-09-17,@Ohio St,54,UNLV,21,,
23-09-17,Michigan,28,@Purdue,10,,
23-09-17,@South Carolina,17,Louisiana Tech,16,,
23-09-17,@Tennessee,17,Massachusetts,13,,
23-09-17,@Virginia Tech,38,Old Dominion,0,,
23-09-17,Oklahoma,49,@Baylor,41,,
23-09-17,Texas Tech,27,@Houston,24,,
23-09-17,Penn St,21,@Iowa,19,,
23-09-17,West Virginia,56,@Kansas,34,,
23-09-17,@LSU,35,Syracuse,26,,
23-09-17,ULM,56,@ULL,50,O2,
23-09-17,@MTSU,24,Bowling Green,13,,
23-09-17,Auburn,51,@Missouri,14,,
23-09-17,@Nebraska,27,Rutgers,17,,
23-09-17,@North Texas,46,UAB,43,,
23-09-17,TCU,44,@Oklahoma St,31,,
23-09-17,Florida Intl,13,@Rice,7,,
23-09-17,@SMU,44,Arkansas St,21,,
23-09-17,Idaho,29,@South Alabama,23,O2,
23-09-17,Texas A&M,50,Arkansas,43,O1,Arlington TX
23-09-17,UT San Antonio,44,@Texas St,14,,
23-09-17,@Troy,22,Akron,17,,
23-09-17,@Tulane,21,Army,17,,
23-09-17,New Mexico,16,@Tulsa,13,,
23-09-17,Alabama,59,@Vanderbilt,0,,
23-09-17,@WKU,33,Ball St,21,,
23-09-17,Washington,37,@Colorado,10,,
23-09-17,@New Mexico St,41,UTEP,14,,
23-09-17,@Wyoming,28,Hawaii,21,O1,
23-09-17,@Arizona St,37,Oregon,35,,
23-09-17,USC,30,@California,20,,
23-09-17,Utah St,61,@San Jose St,10,,
23-09-17,@Stanford,58,UCLA,34,,
23-09-17,@Washington St,45,Nevada,7,,
23-09-17,San Diego St,28,@Air Force,24,,
24-09-17,East Carolina,41,@Connecticut,38,,
28-09-17,Texas,17,@Iowa St,7,,
29-09-17,Miami FL,31,@Duke,6,,
29-09-17,Nebraska,28,@Illinois,6,,
29-09-17,@Washington St,30,USC,27,,
29-09-17,@Utah St,40,BYU,24,,
30-09-17,@Louisville,55,Murray St,10,,
30-09-17,@Boston College,28,C Michigan,8,,
30-09-17,Akron,34,@Bowling Green,23,,
30-09-17,Marshall,38,@Cincinnati,21,,
30-09-17,South Florida,61,@East Carolina,31,,
30-09-17,@Florida Intl,30,Charlotte,29,,
30-09-17,@Florida,38,Vanderbilt,24,,
30-09-17,@FL Atlantic,38,MTSU,20,,
30-09-17,@Georgia Tech,33,North Carolina,7,,
30-09-17,Buffalo,27,@Kent,13,,
30-09-17,@Kentucky,24,E Michigan,20,,
30-09-17,Ohio,58,@Massachusetts,50,,
30-09-17,@Michigan St,17,Iowa,10,,
30-09-17,@NC State,33,Syracuse,25,,
30-09-17,@Penn St,45,Indiana,14,,
30-09-17,@Pittsburgh,42,Rice,10,,
30-09-17,Ohio St,56,@Rutgers,0,,
30-09-17,Houston,20,@Temple,13,,
30-09-17,Georgia,41,@Tennessee,0,,
30-09-17,Clemson,31,@Virginia Tech,17,,
30-09-17,Florida St,26,@Wake Forest,19,,
30-09-17,@W Michigan,55,Ball St,3,,
30-09-17,@Alabama,66,Mississippi,3,,
30-09-17,@Arkansas,42,New Mexico St,24,,
30-09-17,@Auburn,49,Mississippi St,10,,
30-09-17,@Kansas St,33,Baylor,20,,
30-09-17,Troy,24,@LSU,21,,
30-09-17,@Louisiana Tech,34,South Alabama,16,,
30-09-17,@ULM,51,Coastal Car,43,,
30-09-17,Maryland,31,@Minnesota,24,,
30-09-17,@SMU,49,Connecticut,28,,
30-09-17,North Texas,43,@Southern Miss,28,,
30-09-17,@Texas A&M,24,South Carolina,17,,
30-09-17,Oklahoma St,41,@Texas Tech,34,,
30-09-17,Navy,31,@Tulsa,21,,
30-09-17,@Wisconsin,33,Northwestern,24,,
30-09-17,@Wyoming,45,Texas St,10,,
30-09-17,@Fresno St,41,Nevada,21,,
30-09-17,@Oregon,45,California,24,,
30-09-17,Washington,42,@Oregon St,7,,
30-09-17,@Stanford,34,Arizona St,24,,
30-09-17,@UCLA,27,Colorado,23,,
30-09-17,@UNLV,41,San Jose St,13,,
30-09-17,@Army,35,UTEP,21,,
30-09-17,@Notre Dame,52,Miami OH,17,,
30-09-17,Colorado St,51,@Hawaii,21,,
30-09-17,@New Mexico,56,Air Force,38,,
30-09-17,@San Diego St,34,N Illinois,28,,
30-09-17,@UCF,40,Memphis,13,,
04-10-17,Arkansas St,43,@Ga Southern,25,,
05-10-17,@NC State,39,Louisville,25,,
06-10-17,Memphis,70,@Connecticut,31,,
06-10-17,Boise St,24,@BYU,7,,
07-10-17,Miami FL,24,@Florida St,20,,
07-10-17,@Akron,31,Ball St,3,,
07-10-17,Virginia Tech,23,@Boston College,10,,
07-10-17,W Michigan,71,@Buffalo,68,O7,
07-10-17,Marshall,14,@Charlotte,3,,
07-10-17,UCF,51,@Cincinnati,23,,
07-10-17,@Clemson,28,Wake Forest,14,,
07-10-17,Georgia St,27,@Coastal Car,21,,
07-10-17,Temple,34,@East Carolina,10,,
07-10-17,LSU,17,@Florida,16,,
07-10-17,@Kentucky,40,Missouri,34,,
07-10-17,Bowling Green,37,@Miami OH,29,,
07-10-17,Michigan St,14,@Michigan,10,,
07-10-17,@Navy,48,Air Force,45,,
07-10-17,Notre Dame,33,@North Carolina,10,,
07-10-17,C Michigan,26,@Ohio,23,,
07-10-17,@Ohio St,62,Maryland,14,,
07-10-17,FL Atlantic,58,@Old Dominion,28,,
07-10-17,@Purdue,31,Minnesota,17,,
07-10-17,@South Carolina,48,Arkansas,22,,
07-10-17,@Syracuse,27,Pittsburgh,24,,
07-10-17,@Toledo,20,E Michigan,15,,
07-10-17,@Virginia,28,Duke,21,,
07-10-17,@Appalachian St,45,New Mexico St,31,,
07-10-17,@Auburn,44,Mississippi,23,,
07-10-17,@Iowa,45,Illinois,16,,
07-10-17,Texas Tech,65,@Kansas,19,,
07-10-17,@MTSU,37,Florida Intl,17,,
07-10-17,Wisconsin,38,@Nebraska,17,,
07-10-17,@N Illinois,24,Kent,3,,
07-10-17,Penn St,31,@Northwestern,7,,
